Price,Close,High,Low,Open,Volume
Ticker,SAM,SAM,SAM,SAM,SAM
Date,,,,,
2024-01-02,339.4100036621094,345.54998779296875,337.6400146484375,344.8299865722656,137600
2024-01-03,331.04998779296875,338.1099853515625,330.0400085449219,336.9700012207031,176700
2024-01-04,329.45001220703125,330.67999267578125,326.70001220703125,329.79998779296875,159100
2024-01-05,327.25,332.67999267578125,325.3299865722656,330.7900085449219,281400
2024-01-08,337.4100036621094,337.9200134277344,325.6099853515625,328.6300048828125,162500
2024-01-09,337.42999267578125,339.2699890136719,333.92999267578125,334.19000244140625,150400
2024-01-10,350.1199951171875,350.44000244140625,338.1300048828125,338.1300048828125,139700
2024-01-11,347.69000244140625,352.7900085449219,346.70001220703125,349.17999267578125,118100
2024-01-12,351.9100036621094,354.69000244140625,349.2099914550781,349.2099914550781,107600
2024-01-16,358.8299865722656,359.1000061035156,353.29998779296875,355.44000244140625,146000
2024-01-17,358.4100036621094,358.6300048828125,351.239990234375,356.54998779296875,138300
2024-01-18,360.1199951171875,361.3299865722656,356.1000061035156,356.6400146484375,90800
2024-01-19,357.5899963378906,360.3999938964844,355.0899963378906,360.3999938964844,77800
2024-01-22,358.6099853515625,362.2300109863281,356.20001220703125,356.20001220703125,79500
2024-01-23,365.9100036621094,366.7900085449219,360.20001220703125,361.3399963378906,86800
2024-01-24,357.2900085449219,368.79998779296875,356.2200012207031,367.0,87700
2024-01-25,356.6099853515625,360.32000732421875,356.3800048828125,359.5799865722656,101500
2024-01-26,359.3999938964844,361.6000061035156,356.7200012207031,360.0,76200
2024-01-29,361.9700012207031,363.1499938964844,358.7200012207031,362.2799987792969,86800
2024-01-30,357.6199951171875,362.2699890136719,357.5199890136719,361.9700012207031,113300
2024-01-31,349.2699890136719,358.57000732421875,347.8500061035156,357.2799987792969,109000
2024-02-01,356.739990234375,357.79998779296875,349.8999938964844,350.7200012207031,103600
2024-02-02,357.07000732421875,359.1600036621094,354.5199890136719,356.79998779296875,72700
2024-02-05,356.489990234375,357.489990234375,350.2799987792969,355.0799865722656,84900
2024-02-06,353.04998779296875,358.1400146484375,353.0299987792969,357.94000244140625,115300
2024-02-07,352.5400085449219,355.5299987792969,351.42999267578125,354.4200134277344,69400
2024-02-08,351.80999755859375,356.07000732421875,351.1099853515625,352.45001220703125,84500
2024-02-09,350.2699890136719,353.6000061035156,349.5899963378906,351.1400146484375,78000
2024-02-12,356.3999938964844,361.5400085449219,350.9700012207031,351.30999755859375,105800
2024-02-13,356.0,356.1499938964844,346.44000244140625,348.3599853515625,115300
2024-02-14,355.29998779296875,358.760009765625,350.69000244140625,357.5199890136719,84900
2024-02-15,356.1000061035156,358.9700012207031,354.92999267578125,355.75,68300
2024-02-16,351.9200134277344,355.9200134277344,351.6099853515625,353.9800109863281,79100
2024-02-20,347.3800048828125,355.8900146484375,346.07000732421875,351.2799987792969,111300
2024-02-21,347.8299865722656,348.7300109863281,343.3399963378906,346.5799865722656,112700
2024-02-22,350.4599914550781,353.0299987792969,346.0899963378906,349.30999755859375,95200
2024-02-23,354.42999267578125,356.3999938964844,348.010009765625,348.010009765625,110000
2024-02-26,359.5299987792969,364.2099914550781,352.6700134277344,352.6700134277344,151900
2024-02-27,370.05999755859375,371.6499938964844,357.8299865722656,358.2699890136719,219000
2024-02-28,311.739990234375,327.07000732421875,300.1600036621094,326.3599853515625,896600
2024-02-29,308.1400146484375,319.2300109863281,305.05999755859375,313.989990234375,329300
2024-03-01,304.4800109863281,308.7699890136719,303.4800109863281,308.45001220703125,172100
2024-03-04,299.6400146484375,307.45001220703125,299.6199951171875,303.510009765625,163600
2024-03-05,297.04998779296875,302.30999755859375,296.260009765625,300.8999938964844,152600
2024-03-06,295.5299987792969,301.69000244140625,294.70001220703125,297.4200134277344,127900
2024-03-07,298.6700134277344,300.239990234375,294.8500061035156,296.5,141100
2024-03-08,298.80999755859375,301.489990234375,297.3800048828125,299.69000244140625,108900
2024-03-11,301.67999267578125,304.9200134277344,298.1000061035156,300.1600036621094,132100
2024-03-12,297.6199951171875,302.0,296.6700134277344,301.0,119700
2024-03-13,298.3500061035156,300.2799987792969,297.5,298.3299865722656,151700
2024-03-14,294.2699890136719,297.9100036621094,293.3599853515625,297.1400146484375,143800
2024-03-15,295.1000061035156,296.0199890136719,292.8299865722656,292.8299865722656,171800
2024-03-18,290.0799865722656,295.8699951171875,289.70001220703125,294.0899963378906,181800
2024-03-19,289.92999267578125,292.6300048828125,287.3299865722656,290.010009765625,207500
2024-03-20,295.3800048828125,295.510009765625,288.0,290.9200134277344,144100
2024-03-21,293.9200134277344,296.67999267578125,292.8599853515625,296.1000061035156,115900
2024-03-22,307.1199951171875,308.2699890136719,295.25,297.510009765625,202600
2024-03-25,310.1300048828125,311.67999267578125,304.1099853515625,306.5,167100
2024-03-26,308.4200134277344,312.8500061035156,307.5400085449219,311.6099853515625,129300
2024-03-27,307.9700012207031,311.6400146484375,307.4700012207031,310.9700012207031,97400
2024-03-28,304.4200134277344,309.8399963378906,303.44000244140625,308.79998779296875,129600
2024-04-01,300.70001220703125,304.3699951171875,297.7799987792969,303.489990234375,191600
2024-04-02,300.0,301.9700012207031,297.739990234375,299.4100036621094,125900
2024-04-03,296.5199890136719,298.3999938964844,293.489990234375,297.6600036621094,105400
2024-04-04,295.989990234375,299.5799865722656,295.0,297.6099853515625,89200
2024-04-05,294.75,295.8299865722656,291.70001220703125,294.94000244140625,93800
2024-04-08,297.0,300.7099914550781,295.0,295.5799865722656,88800
2024-04-09,291.30999755859375,295.010009765625,290.760009765625,293.7300109863281,161000
2024-04-10,290.55999755859375,292.0400085449219,289.0199890136719,289.5,146700
2024-04-11,291.3900146484375,294.3900146484375,290.0,292.55999755859375,125200
2024-04-12,285.6499938964844,290.9599914550781,284.70001220703125,289.0,118200
2024-04-15,280.82000732421875,286.5799865722656,280.7699890136719,283.3399963378906,147100
2024-04-16,274.9200134277344,279.989990234375,274.7799987792969,279.5799865722656,136700
2024-04-17,280.1000061035156,283.0199890136719,276.260009765625,276.5400085449219,162800
2024-04-18,284.8699951171875,285.4800109863281,279.5799865722656,279.8800048828125,119000
2024-04-19,286.9800109863281,290.0,284.1099853515625,284.1099853515625,136300
2024-04-22,289.17999267578125,290.4599914550781,286.8699951171875,288.25,149000
2024-04-23,286.1000061035156,290.0,283.3999938964844,288.3800048828125,136800
2024-04-24,293.29998779296875,293.8500061035156,284.9700012207031,285.0299987792969,172700
2024-04-25,287.2699890136719,294.1000061035156,286.44000244140625,291.2900085449219,213500
2024-04-26,283.20001220703125,318.0,281.5199890136719,315.0,403700
2024-04-29,285.6300048828125,288.19000244140625,282.0199890136719,285.0,334400
2024-04-30,278.4100036621094,283.8599853515625,277.3599853515625,283.8599853515625,247700
2024-05-01,276.57000732421875,280.6199951171875,276.0,277.989990234375,286100
2024-05-02,278.9800109863281,281.6099853515625,277.5799865722656,277.5799865722656,132900
2024-05-03,277.2799987792969,281.1400146484375,276.6400146484375,280.4800109863281,165100
2024-05-06,268.20001220703125,279.9700012207031,267.0799865722656,279.07000732421875,232700
2024-05-07,273.2900085449219,273.3399963378906,264.6300048828125,269.25,250900
2024-05-08,281.6400146484375,281.82000732421875,275.04998779296875,277.0,251700
2024-05-09,284.5299987792969,287.44000244140625,282.3399963378906,283.05999755859375,174600
2024-05-10,291.1600036621094,298.510009765625,283.6400146484375,284.3800048828125,492000
2024-05-13,283.82000732421875,291.8699951171875,282.6099853515625,290.92999267578125,207700
2024-05-14,284.7799987792969,302.6099853515625,283.2200012207031,295.0,413300
2024-05-15,281.6000061035156,286.3500061035156,280.0400085449219,286.2699890136719,208200
2024-05-16,282.2900085449219,284.3800048828125,280.6499938964844,282.67999267578125,142700
2024-05-17,280.3299865722656,282.0400085449219,277.0,282.0,167800
2024-05-20,275.07000732421875,282.44000244140625,272.489990234375,279.9800109863281,219700
2024-05-21,271.5899963378906,274.739990234375,269.010009765625,274.739990234375,168900
2024-05-22,267.07000732421875,275.29998779296875,266.4800109863281,271.1600036621094,175700
2024-05-23,267.2799987792969,268.75,264.04998779296875,267.0,157700
2024-05-24,260.75,269.010009765625,260.05999755859375,268.0,178800
2024-05-28,259.510009765625,260.4700012207031,254.39999389648438,259.6300048828125,269800
2024-05-29,255.8699951171875,263.7900085449219,255.6999969482422,257.2799987792969,203000
